Artist,Song
Cold War Kids,Love Is Mystical
Ra Ra Riot,Absolutely
Wild Cub,Thunder Clatter
Sure Sure,New Biome
The Maccabees,Toothpaste Kisses
RAC;Speak,One House
The Rumble Strips,Girls And Boys In Love
PAPA,Comfort's a Killer
Opossom,Blue Meanies
Two Door Cinema Club,Bad Decisions
Pinegrove,Old Friends
The Joy Formidable,Whirring
BLOXX,You
Geowulf,Get You
Amber Coffman,No Coffee
Two Door Cinema Club,Something Good Can Work
St. Lucia,Dancing On Glass
Kishi Bashi,"Can't Let Go, Juno"
Caveman,On My Own
Plastic Picnic,Miss It Still
JR JR,Gone
Smith Westerns,Weekend
The Go! Team,Semicircle Song
Vampire Weekend,Oxford Comma
Zuli,follow you
Someone Still Loves You Boris Yeltsin,Young Presidents
Daya,New
Pawl;Jimmy Burney,Young & Faded
Lorde;Khalid;Post Malone;SZA,"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX"
Sabrina Carpenter,Why
Fuse ODG;Ed Sheeran;Mugeez,Boa Me (feat. Ed Sheeran & Mugeez)
Maroon 5;SZA,What Lovers Do (feat. SZA)
Don Diablo;A R I Z O N A,Take Her Place (feat. A R I Z O N A)
Alvaro;Faustix,Watching You
Loote,Out Of My Head
Tungevaag & Raaban;Victor Crone,Coming Up
David Guetta;Afrojack;Charli XCX;French Montana,Dirty Sexy Money (feat. Charli XCX & French Montana)
The Uni?n;Lovespeake,No Good For You
Selena Gomez;Marshmello,Wolves
Anis Don Demina,On My Mind
CamelPhat;Elderbrook,Cola
Felix Jaehn;Mike Williams,Feel Good
Cheat Codes;Demi Lovato,No Promises (feat. Demi Lovato)
Iris Gold,All I Really Know
Timeflies,Semi-Charmed
Astrid S,Think Before I Talk
Alan Walker;Gavin James,Tired
Charlie Puth,How Long
RAYE;Mr Eazi,Decline
Fancy Cars;Myah Marie,Last Time Love
Bishop Briggs,Dream
DJ Snake;Lauv,A Different Way (with Lauv)
HUMAN,HIGHER
Madden;6AM,Golden Light (feat. 6AM)
Wisin;Timbaland;Bad Bunny,Move Your Body
Maroon 5,Lips On You
Rudimental;Ed Sheeran,Lay It All On Me (feat. Ed Sheeran)
Sigrid,Strangers
Rita Ora,Anywhere
Tyron Hapi;Mimoza,Anyway
MORTEN;Conor Darvid,Ride Around (feat. Conor Darvid)
Timeflies,Once in a While
Mugisho,Play With You
KLYMVX;Emily Zeck,After Midnight
Imagine Dragons,Thunder
JP Cooper,September Song
Mike Posner;Grey,In The Arms Of A Stranger - Grey Remix
AlunaGeorge,Turn Up The Love
Tritonal;Sj;Emma Gatsby,Hung Up
Perttu;Sam Shrieve,Stardust
Andrelli;Elle Winter,Always You
Virginia To Vegas,Selfish
Jonas Blue;William Singe,Mama
Dua Lipa,Blow Your Mind (Mwah)
Fancy Cars;Yashua,Belong To U
Naaz,Up To Something
JP Cooper,She's On My Mind
Aaron Carter,Sooner Or Later
Alex Mattson,Good Kids
Bakermat;Kiesza,Don't Want You Back
Kiiara;Felix Snow,Whippin (feat. Felix Snow)
Hearts & Colors;Andrelli,Lighthouse - Andrelli Remix
NOTD;Dagny,Summer Of Love
Clean Bandit;Zara Larsson,Symphony (feat. Zara Larsson)
