,Artist,Song,lyrics
20,The Foundations,Build Me Up Buttercup - Single Version,-1
21,Sam & Dave,Soul Man - LP/Single Version,-1
22,Sam & Dave,"Hold On, I'm Comin' - LP/Single Version",-1
23,Stevie Wonder,Uptight (Everything's Alright),"Baby, everything is all right
Uptight, out of sight
Baby, everything is all right
Uptight, out of sight

I'm a poorman's son from across the railroad tracks
The only shirt I own is hangin' on my back
But I'm the envy of every single guy
Since I'm the apple of my girl's eye

When we go out stepping on the town for a while
My money's low and my suit's out of style
But it's all right if my clothes aren't new
Out of sight, because my heart is true

She says baby, everything is all right
Uptight, out of sight
Baby, everything is all right
Uptight, clean out of sight

She's a pearl of a girl
I guess that's what you might say 
I guess her folks brought her up that way 
The right side of the tracks she was born and raised 
In a great big old house full of butlers and maids

She says no one is better than I 
And I know I'm just an average guy 
No footfall hero or smooth Don Juan 
Got empty pockets you see, I'm a poor man's son

Can't give her the things that money can buy
But I'll never, never never make my baby cry 
And it's all right, what if I can't do 
Out of sight, because my heart is true 

She says baby everything is all right 
Uptight, clean out of sight 
Baby, everything is all right 
Uptight, clean out of sight

Baby everything is all right 
Uptight, clean out of sight 
Baby, everything is all right 
Uptight, way out of sight"
24,Stevie Wonder,Superstition,"Very superstitious, writing's on the wall
Very superstitious, ladder's 'bout to fall
Thirteen-month-old baby, broke the lookin' glass
Seven years of bad luck, your good thing's in your past

When you believe in things that you don't understand
Then you suffer
Superstition ain't the way
Yeah-eah, ay

Ooh, very superstitious, wash your face and hands
Rid me of the problem, do all that you can
Keep me in a daydream, keep me goin' strong, yeah
You don't wanna save me, sad is my song

When you believe in things that you don't understand
Then you suffer
Superstition ain't the way
Yeah, yeah
Oh, no
Ahh, ha!
Ow

Very superstitious, nothin' more to say
Very superstitious, the Devil's on his way
Thirteen-month-old baby, mmm, broke the lookin' glass
Seven years of bad luck, good things in your past
Mmm-hmm

When you believe in things that you don't understand
Then you suffer
Superstition ain't the way
No, no, no
Ooh

Ah-ah-ah, ah-ah
Ooh
Ah

Mmm, yeah, yeah, yeah, yeah
Hee, hee, hee, hee, hee, hee
Ooh-ooh
Ooh-ooh
Ooh-hoo
Hoo, hmm, hmm"
25,Sam Cooke,(What A) Wonderful World,"Don't know much about history
Don't know much biology
Don't know much about a science book
Don't know much about the French I took

But I do know that I love you
And I know that if you love me, too
What a wonderful world this would be

Don't know much about geography
Don't know much trigonometry
Don't know much about algebra
Don't know what a slide rule is for

But I do know one and one is two
And if this one could be with you
What a wonderful world this would be

Now, I don't claim to be an A student
But I'm trying to be
For maybe by being an A student, baby
I can win your love for me

Don't know much about history
Don't know much biology
Don't know much about a science book
Don't know much about the French I took

But I do know that I love you
And I know that if you love me, too
What a wonderful world this would be

La ta ta ta ta ta ta (History)
Hmm-mm-mm (Biology)
La ta ta ta ta ta ta (Science book)
Hmm-mm-mm (French I took)

Yeah, but I do know that I love you
And I know that if you love me, too
What a wonderful world this would be"
26,Bill Withers,Lovely Day,"When I wake up in the morning, love
And the sunlight hurts my eyes
And something without warning, love
Bears heavy on my mind

Then I look at you
And the world's alright with me
Just one look at you
And I know it's gonna be

A lovely day
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)
A lovely day
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)

When the day that lies ahead of me
Seems impossible to face
When someone else instead of me
Always seems to know the way

Then I look at you
And the world's alright with me
Just one look at you
And I know it's gonna be

A lovely day
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)
A lovely day
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)

When the day that lies ahead of me
Seems impossible to face
And when someone else instead of me
Always seems to know the way

Then I look at you
And the world's alright with me
Ah, just one look at you
And I know it's gonna be

A lovely day
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)
A lovely day
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)

A lovely day
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)
A lovely day
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)

A lovely day
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)
A lovely day
(Lovely day, lovely day, lovely day, lovely day)
(Lovely day, lovely day, lovely day, lovely day)"
27,Etta James,Something's Got A Hold On Me - Single Version,-1
28,James Brown,Papa's Got A Brand New Bag,-1
29,The Ronettes,Be My Baby,"The night we met I knew I needed you so
And if I had the chance I'd never let you go
So won't you say you love me
I'll make you so proud of me
We'll make 'em turn their heads every place we go

So won't you, please
(Be my, be my baby) Be my little baby
(My one and only baby) Say you'll be my darlin'
(Be my, be my baby) Be my baby now
Wha-oh-oh-oh

I'll make you happy, baby, just wait and see
For every kiss you give me, I'll give you three
Oh, since the day I saw you
I have been waiting for you
You know I will adore you 'til eternity

So won't you, please
(Be my, be my baby) Be my little baby
(My one and only baby) Say you'll be my darlin'
(Be my, be my baby) Be my baby now
Wha-oh-oh-oh-oh

So come on and please
(Be my, be my baby) Be my little baby
(My one and only baby) Say you'll be my darlin'
(Be my, be my baby) Be my baby now
Wha-oh-oh-oh

(Be my, be my baby) Be my little baby
(My one and only baby) Oh
(Be my, be my baby) Oh
Wha-oh-oh-oh-oh

(Be my, be my baby) Oh
(My one and only baby) Oh
(Be my, be my baby) Be my baby now
Wha-oh-oh-oh"
