,Artist,Song,lyrics
67,Sara Bareilles,Gravity,"Something always brings me back to you
It never takes too long
No matter what I say or do
I'll still feel you here 'til the moment I'm gone

You hold me without touch
You keep me without chains
I never wanted anything so much
Than to drown in your love and not feel your rain.

Set me free, leave me be
I don't want to fall another moment into your gravity
Here I am and I stand so tall
Jjust the way I'm supposed to be
But you're on to me and all over me

You loved me 'cause I'm fragile
When I thought that I was strong
But you touch me for a little while
And all my fragile strength is gone

Set me free, leave me be
I don't want to fall another moment into your gravity
Here I am and I stand so tall
Just the way I'm supposed to be
But you're on to me and all over me

I live here on my knees as I 
Try to make you see that you're
Everything I think I need here on the ground
But you're neither friend nor foe though I
Can't seem to let you go
The one thing that I still know is that you're keeping me down
Keeping me down

You're on to me, on to me and all over

Something always brings me back to you
It never takes too long"
68,Jason Mraz,I Won't Give Up,"When I look into your eyes
It's like watching the night sky
Or a beautiful sunrise
There's so much they hold

And just like them old stars
I see that you've come so far
To be right where you are
How old is your soul?

Well, I won't give up on us
Even if the skies get rough
I'm giving you all my love
I'm still looking up

And when you're needing your space
To do some navigating
I'll be here patiently waiting
To see what you find

'Cause even the stars, they burn
Some even fall to the Earth
We've got a lot to learn
God knows we're worth it
No, I won't give up

I don't want to be someone who walks away so easily
I'm here to stay and make the difference that I can make
Our differences, they do a lot to teach us how to use
The tools and gifts we got yeah, we got a lot at stake

And in the end, you're still my friend at least we did intend
For us to work we didn't break, we didn't burn
We had to learn how to bend without the world caving in
I had to learn what I've got and what I'm not and who I am

I won't give up on us
Even if the skies get rough
I'm giving you all my love
I'm still looking up
Still looking up

I won't give up on us (no I'm not giving up)
God knows I'm tough enough (I am tough, I am loved)
We've got a lot to learn (we're alive, we are loved)
God knows we're worth it (and we're worth it)

I won't give up on us
Even if the skies get rough
I'm giving you all my love
I'm still looking up"
69,Jason Mraz;Colbie Caillat,Lucky,"Do you hear me? I'm talking to you
Across the water across the deep blue ocean
Under the open sky oh my, baby I'm trying
Boy I hear you in my dreams
I feel your whisper across the sea
I keep you with me in my heart
You make it easier when life gets hard

Lucky I'm in love with my best friend
Lucky to have been where I have been
Lucky to be coming home again

They don't know how long it takes
Waiting for a love like this
Every time we say goodbye
I wish we had one more kiss
I wait for you I promise you I will

Lucky I'm in love with my best friend
Lucky to have been where I have been
Lucky to be coming home again
Lucky we're in love in every way
Lucky to have stayed where we have stayed
Lucky to be coming home someday

And so I'm sailing through the sea
To an island where we'll meet
You'll hear the music, fill the air
I'll put a flower in your hair
And though the breeze is through the trees
Move so pretty you're all I see
As the world keeps spinning round
You hold me right here right now

Lucky I'm in love with my best friend
Lucky to have been where I have been
Lucky to be coming home again
Lucky we're in love every way
Lucky to have stayed where we have stayed
Lucky to be coming home someday"
70,Ed Sheeran,Thinking Out Loud,"When your legs don't work like they used to before
And I can't sweep you off of your feet
Will your mouth still remember the taste of my love
Will your eyes still smile from your cheeks

And darling I will be loving you till we're seventy
And baby my heart could still fall as hard at twenty-three
And I'm thinking 'bout how people fall in love in mysterious ways
Maybe just the touch of a hand
Oh me I fall in love with you every single day
And I just wanna tell you I am

So honey now
Take me into your loving arms
Kiss me under the light of a thousand stars
Place your head on my beating heart
I'm thinking out loud
That maybe we found love right where we are

When my hair's all but gone and my memory fades
And the crowds don't remember my name
When my hands don't play the strings the same way
I know you will still love me the same

'Cause honey your soul can never grow old
It's evergreen
And baby your smile's forever in my mind and memory
And I'm thinking 'bout how people fall in love in mysterious ways
Maybe it's all part of a plan
I'll just keep on making the same mistakes
Hoping that you'll understand

But baby now
Take me into your loving arms
Kiss me under the light of a thousand stars
Place your head on my beating heart
I'm thinking out loud
That maybe we found love right where we are

So baby now
Take me into your loving arms
Kiss me under the light of a thousand stars
Oh darling, place your head on my beating heart
I'm thinking out loud
That maybe we found love right where we are
Oh maybe we found love right where we are
And we found love right where we are"
71,Snow Patrol,Chasing Cars,"We'll do it all
Everything 
On our own

We don't need
Anything 
Or anyone

If I lay here
If I just lay here
Would you lie with me and just forget the world?

I don't quite know
How to say
How I feel

Those three words
Are said too much
They're not enough

If I lay here
If I just lay here
Would you lie with me and just forget the world?

Forget what we're told 
Before we get too old
Show me a garden that's bursting into life

Let's waste time 
Chasing cars 
Around our heads

I need your grace 
To remind me
To find my own

If I lay here
If I just lay here
Would you lie with me and just forget the world?

Forget what we're told
Before we get too old
Show me a garden that's bursting into life

All that I am
All that I ever was
Is here in your perfect eyes; they're all I can see

I don't know where
Confused about how as well
Just know that these things will never change for us at all

If I lay here
If I just lay here
Would you lie with me and just forget the world?"
72,Train,Marry Me,"Forever could never be long enough for me
To feel like I've had long enough with you
Forget the world now
We won't let them see
But there's one thing left to do
Now that the weight has lifted
And love has surely shifted my way

Marry me
Today and every day
Marry me
If I ever get the nerve to say hello in this café
Say you will... mmm mmm
Say you will... mmm mmm

Together could never be close enough for me
To feel like I am close enough to you
You wear white and I'll wear out the words
I love you and you're beautiful
Now that the wait is over
And love has finally showed her my way

Marry me
Today and every day
Marry me
If I ever get the nerve to say hello in this café
Say you will... mmm mmm
Say you will... mmm mmm

Promise me
You'll always be
Happy by my side
I promise to
Sing to you
When all the music dies

Marry me
Today and every day
Marry me
If I ever get the nerve to say hello in this café
Say you will... mmm mmm
Say you will... mmm mmm
Marry me"
73,John Legend,Love Me Now - Recorded at Spotify Studios NYC,-1
74,Jessie Ware,Say You Love Me,"Say you love me to my face
I need it more than your embrace
Just say you want me, that's all it takes
Heart's getting torn from your mistakes

'Cause I don't wanna fall in love
If you don't wanna try,
But all that I've been thinking of
Is maybe that you might
Baby it looks as though we're running out of words to say
And love's floating away

Just say you love me, just for today
And don't give me time 'cause that's not the same
Want to feel burning flames when you say my name
Want to feel passion flow into my bones
Like blood through my veins

'Cause I don't wanna fall in love
If you don't wanna try,
But all that I've been thinking of
Is maybe that you might
And, baby, it looks as though we're running out of words to say
And love's floating away

Won't you stay?
Won't you stay?
Slowly slowly you run for me,
But do you know me at all?
Someone told me love controls everything
But only if you know

'Cause I don't wanna fall in love
(No no no no no)
If you don't wanna try
(Just try sometimes)
But all that I've been thinking of
(I just think)
Is maybe that you might
(You might)
'Cause I don't wanna fall in love
If you don't wanna try
But all that I've been thinking of
Is maybe that you might
Baby it looks as though we're running out of words to say
And love's floating away
Won't you stay?
Won't you stay?"
75,Coldplay,Yellow,"Look at the stars
Look how they shine for you
And everything you do
Yeah, they were all yellow

I came along
I wrote a song for you
And all the things you do
And it was called ""Yellow""

So, then, I took my turn
Oh, what a thing to've done
And it was all yellow

Your skin
Oh, yeah, your skin and bones
Turn it into something beautiful
D'you know
You know I love you so
You know I love you so

I swam across
I jumped across for you
Oh, what a thing to do
'Cause you were all yellow

I drew a line
I drew a line for you
Oh, what a thing to do
And it was all yellow

Your skin
Oh, yeah, your skin and bones
Turn into something beautiful
D'you know
For you, I'd bleed myself dry
For you, I'd bleed myself dry

It's true
Look how they shine for you
Look how they shine for you
Look how they shine for
Look how they shine for you
Look how they shine for you
Look how they shine

Look at the stars
Look how they shine for you
And all the things that you do"
76,Jason Mraz,I'm Yours,"Well, you done done me and you bet I felt it
I tried to be chill but you're so hot that I melted
I fell right through the cracks
Now I'm trying to get back
Before the cool done run out I'll be giving it my bestest
And nothing's gonna stop me but divine intervention
I reckon it's again my turn to win some or learn some

But I won't hesitate no more, no more
It cannot wait, I'm yours

Well, open up your mind and see like me
Open up your plans and damn you're free
Look into your heart and you'll find love love, love, love
Listen to the music of the moment, people dance and sing
We're just one big family
And it's our God-forsaken right to be loved, love, love, loved, loved

So I won't hesitate no more, no more
It cannot wait I'm sure
There's no need to complicate
Our time is short
This is our fate, I'm yours

Do you want to, come on
Scootch over closer dear
And I will nibble your ear

I've been spending way too long checking my tongue in the mirror
And bending over backwards just to try to see it clearer
But my breath fogged up the glass
And so I drew a new face and I laughed

I guess what I'll be saying is there ain't no better reason
To rid yourself of vanities and just go with the seasons
It's what we aim to do
Our name is our virtue

But I won't hesitate no more, no more
It cannot wait, I'm yours

Well open up your mind and see like me
Open up your plans and damn you're free
Look into your heart and you'll find that the sky is yours
So please don't please don't please don't
There's no need to complicate
'Cause our time is short
This oh this oh this is our fate I'm yours

Oh I'm yours, oh I'm yours, oh
Baby, do believe I'm yours
You best believe, you best believe I'm yours"
77,Timeflies,Stuck With Me,-1
78,One Direction,Night Changes,"Going out tonight
Changes into something red
Her mother doesn't like that kind of dress
Everything she never had
She's showing off

Driving too fast
Moon is breaking through her hair
She's heading for something that she won't forget
Having no regrets is all that she really wants

We're only getting older, baby
And I been thinking about it lately
Does it ever drive you crazy
Just how fast the night changes

Everything that you've ever dreamed of
Disappearing when you wake up
But there's nothing to be afraid of
Even when the night changes
It will never change
Me and you

Chasing it tonight, doubts are running 'round her head
He's waiting, hides behind a cigarette
Heart is beating loud, and she doesn't want it to stop

Moving too fast
Moon is lighting up her skin
She's falling, doesn't even know it yet
Having no regrets is all that she really wants

We're only getting older, baby
And I been thinking about it lately
Does it ever drive you crazy
Just how fast the night changes

Everything that you've ever dreamed of
Disappearing when you wake up
But there's nothing to be afraid of
Even when the night changes
It will never change
Me and you 

Going out tonight
Changes into something red
Her mother doesn't like that kind of dress
Reminds her of a missing piece of innocence she lost

We're only getting older, baby
And I been thinking about it lately
Does it ever drive you crazy
Just how fast the night changes

Everything that you've ever dreamed of
Disappearing when you wake up
But there's nothing to be afraid of
Even when the night changes

It will never change, baby
It will never change, baby
It will never change
Me and you"
79,The Goo Goo Dolls,Iris,"And I'd give up forever to touch you
'Cause I know that you feel me somehow
You're the closest to heaven that I'll ever be
And I don't want to go home right now
And all I can taste is this moment
And all I can breathe is your life
And sooner or later it's over
I just don't want to miss you tonight

And I don't want the world to see me
'Cause I don't think that they'd understand
When everything's made to be broken
I just want you to know who I am

And you can't fight the tears that ain't coming
Or the moment of truth in your lies
When everything feels like the movies
Yeah, you bleed just to know you're alive

And I don't want the world to see me
'Cause I don't think that they'd understand
When everything's made to be broken
I just want you to know who I am

And I don't want the world to see me
'Cause I don't think that they'd understand
When everything's made to be broken
I just want you to know who I am

And I don't want the world to see me
'Cause I don't think that they'd understand
When everything's made to be broken
I just want you to know who I am
I just want you to know who I am
I just want you to know who I am
I just want you to know who I am"
80,Christina Perri,human,"I can hold my breath
I can bite my tongue
I can stay awake for days
If that's what you want
Be your number one

I can fake a smile
I can force a laugh
I can dance and play the part
If that's what you ask
Give you all I am

I can do it
I can do it
I can do it

But I'm only human
And I bleed when I fall down
I'm only human
And I crash and I break down
Your words in my head, knives in my heart
You build me up and then I fall apart
'Cause I'm only human

I can turn it on
Be a good machine
I can hold the weight of worlds
If that's what you need
Be your everything

I can do it
I can do it
I'll get through it

But I'm only human
And I bleed when I fall down
I'm only human
And I crash and I break down
Your words in my head, knives in my heart
You build me up and then I fall apart
'Cause I'm only human

I'm only human
I'm only human
Just a little human

I can take so much
Till I've had enough

'Cause I'm only human
And I bleed when I fall down
I'm only human
And I crash and I break down
Your words in my head, knives in my heart
You build me up and then I fall apart
'Cause I'm only human"
